id,name_latin,name_english,category,type,slot,damage,damage_type,range,weight_lb,cost_d,cost_gp,ac,properties,special,culture,availability
gladius,Gladius,Short sword,melee,martial,,1d6,piercing/slashing,,3,10,10,,finesse,"Formation bonus: +1 to attack when an ally is within 5 ft of both you and the target",Roman,standard
pugio,Pugio,Military dagger,melee,simple,,1d4,piercing,,1,5,5,,finesse|light|thrown 20/60,"Advantage on attack rolls while grappling or grappled",Roman,standard
spatha,Spatha,Cavalry sword,melee,martial,,1d8,slashing,,4,15,15,,,"+1d8 reach 10 ft while mounted; disadvantage on attacks in tight formation (within 5 ft of two+ allies)",Roman,limited
hasta,Hasta,Infantry thrusting spear,melee,martial,,1d8,piercing,,6,2,2,,reach|two-handed,"Brace: if you have not moved this turn, set vs. charge; incoming charge OA deals double damage. Cannot move and attack same turn while braced.",Roman,standard
dolabra,Dolabra,Military pickaxe,melee,martial,,1d8,piercing,,5,3,3,,two-handed,"Double damage vs. stone walls, wooden structures, earthwork, or constructed barriers; disadvantage vs. mobile unarmored targets in the open",Roman,standard
contus,Contus,Cavalry lance,melee,martial,,1d12,piercing,,15,25,25,,two-handed|mounted,"Reach 10 ft (mounted only); charge strike: double damage after moving 20+ ft in straight line while mounted; disadvantage on all attacks/Dex saves if dismounted while carrying",Roman,limited
falx,Falx,Curved two-handed blade,melee,martial,,1d10,slashing,,7,15,15,,two-handed,"Bypasses shield AC bonus; disadvantage in Roman formations; legal risk: carrying without officer authorization is a summary offense (DC 14 Persuasion to avoid report)",Germanic,black_market
rete,Rete,Fighting net,melee,simple,,,,5/15,3,1,1,,,Hit: target restrained (escape DC 10 + thrower Str modifier as action); no effect on Large or larger; destroyed by 5+ slashing damage while occupied,Roman,limited
vitis,Vitis,Centurion's vine staff,melee,simple,,1d6,bludgeoning,,2,,,"",light,"Authority: Roman soldiers within 30 ft comply or DC 13 Wis save; on a failure they comply; on a success they freeze one round; illegal for non-centurions",Roman,restricted
fustis,Fustis,Club,melee,simple,,1d4,bludgeoning,,3,0.1,,"",versatile 1d6,"1d6 bludgeoning vs. prone targets (1d8 two-handed); improvise from any timber in 1 minute",Universal,standard
seax,Seax,Single-edged blade,melee,martial,,1d6,slashing,,2,5,5,,finesse|light,"Momentum cut: +1d4 damage if moved 10+ ft before first attack this turn; no bonus if standing still or in formation",Germanic,black_market
framea,Framea,Germanic thrusting spear,melee,martial,,1d6,piercing,,4,2,2,,versatile 1d8|thrown 20/60,"Charge bonus: +1d4 piercing if moved 20+ ft toward target before melee attack; retrievable after combat (head does not bend)",Germanic,black_market
bipennis,Bipennis,Double-headed battle axe,melee,martial,,1d12,slashing,,7,0,,"",heavy|two-handed,"Critical hit: target makes DC 14 Constitution save or falls prone (double-headed mass staggers even armored opponents); personal property (not sold or issued)",Germanic,personal_property
angon,Angon,Barbed spear,thrown,martial,,1d8,piercing,20/40,5,8,8,,,Hit vs. shield-bearer: DC 14 Str save or shield AC halved until shaft removed as action; hit vs. unshielded: 1d6 additional piercing on removal without DC 13 Medicine check,Germanic,black_market
francisca,Francisca,Throwing axe,thrown,martial,,1d6,slashing,15/30,3,6,6,,,Near-miss by 4 or fewer: DC 12 Wis save or disadvantage on next attack roll; retrievable after combat; carry up to 3 clipped to belt without encumbrance,Germanic,black_market
heavy_pilum,Heavy Pilum,Heavy javelin,thrown,martial,,1d8,piercing,30/60,4,0.5,,,,"On hit: target's shield is unusable until repaired (1 hour with appropriate tools); pilum cannot be thrown back; bent after throw",Roman,standard
light_pilum,Light Pilum,Light javelin,thrown,martial,,1d6,piercing,20/40,2,0.3,,,,"On hit vs. target not carrying a shield: +1d4 damage; target who picks up a thrown light pilum may return it as a bonus action",Roman,standard
plumbata,Plumbata,Weighted dart,thrown,simple,,1d4,piercing,30/60,0.5,0.1,,,,"Ignores half cover (high-arc drop); carry up to 5 clipped to scutum or clipeus without encumbrance",Roman,standard
verutum,Verutum,Light javelin,thrown,simple,,1d6,piercing,20/40,1,0.1,,,,"Retrievable after combat without a check; attack automatically fails vs. target in testudo from front arc",Roman,standard
lancea,Lancea,Cavalry javelin,thrown,martial,,1d8,piercing,20/40,4,3,3,,,Mounted throw after moving 20+ ft this turn: +1d4 damage; used as melee weapon while mounted: reach 10 ft; disadvantage vs. targets within 5 ft on foot,Roman,limited
funda,Funda,Sling,ranged,simple,,by ammo,by ammo,by ammo,0.25,0.3,2,,,Damage and range determined by ammunition type; requires both hands; cannot use a shield while slinging,Universal,standard
arcus_compositus,Arcus Compositus,Composite bow,ranged,martial,,1d8,piercing,80/320,2,35,35,,two-handed,"No disadvantage on attacks while mounted and moving; add Strength modifier to damage if positive (stave draw weight)",Roman,black_market
arcuballista,Arcuballista,Heavy crossbow,ranged,martial,,1d10,piercing,90/360,18,50,50,,heavy|two-handed|loading,"On hit: ignores AC bonus from any shield except a siege pavise; range 10 ft shorter than standard heavy crossbow",Roman,fort_asset
scorpio,Scorpio,Light bolt-thrower,siege,crew,,2d8,piercing,120/480,400,,,"",crew 2|fort asset,"Trained crew: load and fire in same round as separate actions; on hit DC 12 Str save or pushed 10 ft; reposition requires 4 soldiers' full action",Roman,fort_asset
onager,Onager,Stone-throwing catapult,siege,crew,,5d8,bludgeoning,200/800,1800,,,"",crew 4|fort asset|10 ft radius,"Group DC 13 Dex check (trained crew); near-miss 10-12: random adjacent square; cannot target within 60 ft; 3 rounds to reload; cannot reposition in combat",Roman,fort_asset
polybolos,Polybolos,Repeating bolt-thrower,siege,crew,,4d8,piercing,120/480,600,,,"",crew 2|fort asset,"Fires twice per round; second shot at disadvantage; jam on second-shot die 1-5: DC 15 Artisan's Tools to clear as full action",Roman,fort_asset
ammo_stone,Stone,Sling stone,ammo,simple,,1d4,bludgeoning,40/80,0.1,0,,,"No secondary effect; freely available anywhere",Universal,standard
ammo_glandes,Glandes,Lead sling shot,ammo,simple,,1d6,bludgeoning,30/60,0.15,0.05,,,"On hit: DC 13 Con save or speed reduced 10 ft until end of target's next turn (impact shock even through armor)",Roman,standard
ammo_whistling,Glandes cum foramine,Whistling lead shot,ammo,simple,,1d6,bludgeoning,30/60,0.15,0.08,,,"Near-miss by 4 or fewer: DC 12 Wis save (DC 14 vs. mounts/animals) or disadvantage on next attack roll",Roman,limited
ammo_inscribed,Glandes inscriptae,Inscribed lead shot,ammo,simple,,1d6,bludgeoning,30/60,0.15,0.06,,,"Pre-combat: if enemy sees these being loaded and fails DC 10 Wis save, disadvantage on first attack roll (one-time morale effect)",Roman,limited
ammo_terracotta,Terracotta shot,Clay sling shot,ammo,simple,,1d4,bludgeoning,35/70,0.1,0.03,,,"Longest range of sling ammo; craft in field: 1 hour with clay and mold = 20 shot",Universal,crafted
ammo_clay_fire,Clay incendiary,Incendiary sling shot,ammo,simple,,1d4+1d4,bludgeoning+fire,20/40,0.2,0.1,,,"Adds 1d4 fire; sets flammable objects alight on hit; creatures in flammable material DC 11 Dex save or ignite (1d4 fire/turn); bonus action to load carefully",Roman,limited
ammo_broadhead,Broadhead arrow,Arrow with broad blade,ammo,simple,,standard,piercing,,0.1,0.06,,,"Critical hit: target takes additional 1d4 piercing at start of its next turn (wound continues opening)",Roman,standard
ammo_fire_arrow,Fire arrow,Pitch-wrapped arrow,ammo,simple,,+1d4,fire,,0.1,0.1,,,"Bonus action to light before firing; +1d4 fire vs. flammable targets only; fire extinguishes against armor; bonus action required to light from torch/tinder",Roman,limited
ammo_barbed_arrow,Barbed arrow,Barbed arrow,ammo,simple,,standard,piercing,,0.1,0.07,,,"Removal without DC 15 Medicine check: 1d4 additional piercing damage; target with embedded arrow takes 1 piercing at start of each turn until removed",Roman,limited
ammo_arcuballista_bolt,Arcuballista bolt,Heavy crossbow bolt,ammo,simple,,+2,piercing,,0.3,0.2,,,"Ignores AC bonus from non-pavise shields; heavier than standard crossbow bolt",Roman,standard
lorica_segmentata,Lorica Segmentata,Segmented plate armor,body_armor,heavy,body,,,,20,60,200,17,Str 13 required|Stealth disadv.|swim disadv.,"10 min to don (5 min alone); takes 10 min to doff; swim disadv.; officer requisition required",Roman,limited
lorica_hamata,Lorica Hamata,Chainmail,body_armor,medium,body,,,,22,30,75,14+Dex/+2,Stealth disadv.,"Fire damage from area effects reduced by 2; no disadvantage on swimming Athletics checks (rings flex, do not trap air)",Roman,standard
lorica_squamata,Lorica Squamata,Scale armor,body_armor,medium,body,,,,22,20,50,14+Dex/+2,,"Thrusts from below or inside scale angle (grapple close-in attacks) ignore armor AC contribution entirely",Roman,standard
linothorax,Linothorax,Layered linen armor,body_armor,light,body,,,,8,15,40,12+Dex/+3,,"Fire vulnerability: DC 12 Dex save or armor ignites (1d4 fire/turn until extinguished); prolonged water immersion reduces AC to 12 until dried (4 hours)",Roman,order
hide_leather,Hide/Leather armor,Hide or leather armor,body_armor,light,body,,,,13,12,40,11+Dex,,"No restrictions; Germanic-style hide: Germanic NPCs treat initial attitude as one step less threatening",Universal,standard
galea_coolus,Galea Coolus,Standard iron helmet,helmet,slot,helmet,,,,5,10,10,+1,,"Advantage on saves vs. sound-based fear or resonance effects; disadvantage on Perception checks relying on hearing (cheek guards muffle sound)",Roman,standard
galea_attica,Galea Attica,Open-face helmet,helmet,slot,helmet,,,,4,15,15,+1,,"No Perception penalty (open face); critical hit targeting the head deals +1d4 damage (open face vulnerability)",Roman,limited
galea_centurion,Centurion's Galea,Transverse-crest helmet,helmet,slot,helmet,,,,6,25,25,+1,,"Advantage on Persuasion/Intimidation with Roman soldiers who can see the crest; disadvantage on Stealth; centurion rank required",Roman,restricted
spangenhelm,Spangenhelm,Germanic riveted helmet,helmet,slot,helmet,,,,5,12,12,+1,,"Additional +1 AC vs. bludgeoning attacks targeting the head; aventail attachment adds +1 AC vs. neck attacks",Germanic,limited
aventail,Aventail,Mail neck curtain,helmet,addon,helmet,,,,2,8,8,,,"Attaches to Spangenhelm; +1 AC vs. attacks targeting the neck",Germanic,order
scutum,Scutum,Legionary tower shield,shield,,shield,,,,10,10,10,+2,,"Testudo formation; bash: +Str hit 1d6 bludgeoning DC 13 Str or push 5 ft + prone; terrain check DC 12 Dex in gaps under 3 ft; mounted: disadvantage on all attacks",Roman,standard
clipeus,Clipeus,Auxiliary round shield,shield,,shield,,,,6,7,7,+2,,"No terrain restriction; contributes to acies triplex and orbis (not testudo); bash: +Str hit 1d4 bludgeoning DC 11 Str or push 5 ft; no mounted penalty",Roman,limited
